,Cena,Kupione,Chłodzenie:,Faktura:,Interfejs złącza karty:,Pamięć:,Producent chipsetu:,Producent:,Rodzaj pamięci:,Stan:,Szyna pamięci:,Model
192,1829,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Asus,GDDR6,Nowy,192,RTX2060
193,3899,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,Gigabyte,GDDR6,Nowy,256,RTX2080
194,2759,2,powietrzem,Nie wystawiam faktury,PCI Express,8,NVIDIA,Gigabyte,GDDR6,Używany,256,RTX2080
195,3799,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,Gigabyte,GDDR6,Nowy,256,RTX2080
196,3049,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,MSI,GDDR6,Nowy,256,RTX2070
197,2799,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,Gigabyte,GDDR6,Nowy,256,RTX2070
198,656,0,powietrzem,Wystawiam fakturę VAT,PCI Express,4,AMD,Asus,GDDR5,Nowy,256,RX570
199,5390,0,powietrzem,Wystawiam fakturę VAT,PCI Express,11,NVIDIA,Gigabyte,GDDR6,Nowy,352,RTX2080ti
200,1399,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,MSI,GDDR5,Nowy,192,GTX1660ti
201,3349,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,Gigabyte,GDDR6,Nowy,256,RTX2080
202,1899,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Asus,GDDR6,Nowy,192,RTX2060
203,450,5,powietrzem,Nie wystawiam faktury,PCI Express,4,AMD,SAPPHIRE,GDDR5,Używany,256,RX580
204,3599,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,MSI,GDDR6,Nowy,256,RTX2080
205,2549,0,powietrzem,Wystawiam fakturę VAT,PCI Express,8,NVIDIA,MSI,GDDR6,Nowy,256,RTX2070
206,2049,0,powietrzem,Wystawiam fakturę VAT,PCI Express,6,NVIDIA,Asus,GDDR6,Nowy,192,RTX2060
