,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Nazwa,Cena kupiona,Cena zaoferowana,Link,offer_id,Stan:,Kupione,Model,Producent:,Cena
1732,1732,1732,1732,1732,1732,1732, Expedition   RX570 4GB | GW | FV,Brak,499,https://archiwum.allegro.pl//oferta/asus-expedition-oc-radeon-rx570-4gb-gw-fv-i7748863905.html,7748863905,Używany,0,RX570,Asus,499
1733,1733,1733,1733,1733,1733,1733,  GTX 1070Ti 1070 Ti 8GB 2lata gwarancji,Brak,1650,https://archiwum.allegro.pl//oferta/msi-gaming-gtx-1070ti-1070-ti-8gb-2lata-gwarancji-i7781032426.html,7781032426,Używany,0,GTX1070ti,MSI,1650
1734,1734,1734,1734,1734,1734,1734, GTX1070 uszkodzona,Brak,600,https://archiwum.allegro.pl//oferta/msi-gtx1070-uszkodzona-i7783937257.html,7783937257,,0,GTX1070,MSI,600
1735,1735,1735,1735,1735,1735,1735,  RX 580  4GB,475,475,https://archiwum.allegro.pl//oferta/gigabyte-radeon-rx-580-gaming-4gb-i7781210215.html,7781210215,Używany,1,RX580,Gigabyte,475
1736,1736,1736,1736,1736,1736,1736,  RX 570   4G ,Brak,699,https://archiwum.allegro.pl//oferta/asus-radeon-rx-570-strix-gaming-4g-oc-i7493835080.html,7493835080,Nowy,0,RX570,ASUS,699
1737,1737,1737,1737,1737,1737,1737,  RX 570 4G ,Brak,749,https://archiwum.allegro.pl//oferta/sapphire-radeon-rx-570-4g-pulse-i7487308931.html,7487308931,Nowy,0,RX570,Sapphire,749
1738,1738,1738,1738,1738,1738,1738, GTX 1070  II  8GB GW 2 lata,Brak,1100,https://archiwum.allegro.pl//oferta/gigabyte-gtx-1070-windforce-ii-oc-8gb-gw-2-lata-i7642844823.html,7642844823,Używany,0,GTX1070,Gigabyte,1100
1739,1739,1739,1739,1739,1739,1739, GTX 1070 8GB G1 l Gwarancja,Brak,1150,https://archiwum.allegro.pl//oferta/gigabyte-gtx-1070-8gb-g1-gamingl-gwarancja-i7773481665.html,7773481665,,0,GTX1070,Gigabyte,1150
1740,1740,1740,1740,1740,1740,1740,  GTX 980 SuperClked ACX 2.0,Brak,799,https://archiwum.allegro.pl//oferta/evga-geforce-gtx-980-superclocked-acx-2-0-i7767250551.html,7767250551,Używany,0,GTX980,EVGA,799
1741,1741,1741,1741,1741,1741,1741,    RX 470 MINING H 4GB LE,Brak,490,https://archiwum.allegro.pl//oferta/asus-karta-graficzna-radeon-rx-470-mining-h-4gb-le-i7776174483.html,7776174483,Nowy,0,RX470,Asus,490
1742,1742,1742,1742,1742,1742,1742, NITRO+  RX 580 8G GDDR5 BLUE,Brak,819,https://archiwum.allegro.pl//oferta/sapphire-nitro-radeon-rx-580-8g-gddr5-blue-i7719794376.html,7719794376,Używany,0,RX580,SAPPHIRE,819
1743,1743,1743,1743,1743,1743,1743,Nowa    RTX2060 6GB GDDR6,Brak,1870,https://archiwum.allegro.pl//oferta/nowa-karta-graficzna-gigabyte-rtx2060oc-6gb-gddr6-i7787242198.html,7787242198,Nowy,0,RTX2060,GIGABYTE,1870
1744,1744,1744,1744,1744,1744,1744,"  RTX 2080 SEA HAWK EK X, 8GB GDDR6, 3xD",Brak,4299,https://archiwum.allegro.pl//oferta/msi-geforce-rtx-2080-sea-hawk-ek-x-8gb-gddr6-3xd-i7666610328.html,7666610328,Nowy,0,RTX2080,MSI,4299
1745,1745,1745,1745,1745,1745,1745,   RX 570 8G Nitro+,Brak,917,https://archiwum.allegro.pl//oferta/karta-sapphire-radeon-rx-570-8g-nitro-i7416076336.html,7416076336,Nowy,0,RX570,Sapphire,917
1746,1746,1746,1746,1746,1746,1746,  RX 470 MINING H 4GB LED 256BIT DVI,Brak,499,https://archiwum.allegro.pl//oferta/asus-radeon-rx-470-mining-h-4gb-led-256bit-dvi-i7767404544.html,7767404544,Nowy,0,RX470,Asus,499
